# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;-1;0.85;0.00;2.88;0.20;0.00;96.06
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;0;0.00;0.00;0.03;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;1;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;2;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;3;0.02;0.00;0.05;0.00;0.00;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;4;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;5;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;6;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;7;0.03;0.00;0.02;0.02;0.00;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;8;3.23;0.00;0.64;0.17;0.02;95.95
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;9;2.04;0.00;0.48;0.17;0.00;97.31
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;10;1.89;0.00;0.32;0.10;0.00;97.70
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;11;0.37;0.00;0.08;0.05;0.00;99.50
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;12;0.03;0.00;7.68;0.02;0.00;92.27
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;13;3.99;0.00;63.98;1.19;0.02;30.83
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;14;3.72;0.00;0.82;1.04;0.02;94.41
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;15;3.53;0.00;0.87;0.49;0.02;95.10
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;16;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;17;0.55;0.00;0.13;0.02;0.00;99.30
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;18;0.97;0.00;0.32;0.03;0.00;98.68
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;19;0.03;0.00;0.08;0.02;0.00;99.87
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;20;0.30;0.00;0.10;0.00;0.00;99.60
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;21;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;22;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;23;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;24;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;25;0.03;0.00;0.05;0.02;0.00;99.90
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;26;0.48;0.00;0.05;0.02;0.00;99.45
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;27;1.33;0.00;0.15;0.02;0.00;98.50
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;28;4.55;0.00;3.52;3.17;0.03;88.72
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;29;0.00;0.00;12.87;0.00;0.00;87.13
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;30;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440043231;31;0.10;0.00;0.18;0.00;0.00;99.72
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;-1;4.87;0.00;1.03;2.53;0.01;91.55
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;0;5.93;0.00;1.16;0.65;0.02;92.25
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;1;0.67;0.00;0.10;0.02;0.02;99.20
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;2;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;3;0.05;0.00;0.02;0.00;0.00;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;4;0.17;0.00;0.03;0.00;0.00;99.80
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;5;0.02;0.00;0.03;0.00;0.00;99.95
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;6;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;7;0.17;0.00;0.05;0.00;0.00;99.78
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;8;20.47;0.00;3.21;5.30;0.02;71.01
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;9;13.63;0.00;2.73;2.93;0.02;80.70
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;10;7.01;0.00;1.61;2.33;0.02;89.03
ip-10-145-11-135.us-west-1.compute.internal;60;1440043291;11;2.77;0.00;0.72;0.40;0.02;96.09
