# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;-1;0.96;0.00;0.97;1.85;0.03;96.18
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;0;0.58;0.00;0.32;0.00;0.00;99.10
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;2;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;3;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;4;0.02;0.00;0.05;0.00;0.00;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;5;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;6;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;7;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;8;0.53;0.00;0.48;0.07;0.00;98.92
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;9;0.15;0.00;0.10;0.00;0.00;99.75
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;10;0.03;0.00;0.18;0.08;0.02;99.68
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;11;0.03;0.00;0.05;0.00;0.02;99.90
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;12;0.07;0.00;0.12;0.00;0.02;99.80
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;13;3.27;0.00;13.47;7.69;0.02;75.56
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;14;7.97;0.00;7.14;1.60;0.00;83.28
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;15;4.90;0.00;3.31;0.10;0.00;91.69
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;16;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;17;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;18;10.68;0.00;1.33;0.00;0.00;87.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;19;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;20;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;21;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;22;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;23;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;24;0.05;0.00;0.05;0.00;0.00;99.90
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;25;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;26;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;27;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;28;1.56;0.00;4.27;55.44;1.14;37.59
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;29;0.10;0.00;0.15;0.18;0.02;99.55
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;30;0.75;0.00;0.47;0.00;0.00;98.78
ip-10-145-11-135.us-west-1.compute.internal;60;1440051369;31;0.08;0.00;0.07;0.00;0.00;99.85
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;-1;0.75;0.00;0.82;2.15;0.04;96.25
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;0;0.00;0.00;0.03;0.05;0.00;99.92
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;1;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;2;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;4;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;5;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;6;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;7;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;8;0.62;0.00;0.38;0.00;0.02;98.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;9;0.40;0.00;0.25;0.07;0.02;99.27
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;10;0.08;0.00;0.07;0.00;0.00;99.85
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;11;0.75;0.00;0.18;0.00;0.00;99.07
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;12;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;13;2.84;0.00;12.02;8.25;0.02;76.87
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;14;7.44;0.00;6.07;1.69;0.02;84.79
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;15;3.96;0.00;2.40;0.25;0.02;93.37
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;16;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;17;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;18;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;19;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;20;0.02;0.00;0.42;0.00;0.00;99.57
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;21;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;22;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440051429;23;0.00;0.00;0.00;0.00;0.00;100.00
