ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1440057673.11215,template1,0,0,0,0,0,0,0,0,0,0
1440057673.11215,template0,0,0,0,0,0,0,0,0,0,0
1440057673.11215,postgres,0,2873,2,24164,93854,1382505,20994,0,0,0
1440057673.11215,dbt3,8,29201,1,19418645810,28962200874,368968119836,115774099374,2644018710,2122,38246612
1440057733.15106,template1,0,0,0,0,0,0,0,0,0,0
1440057733.15106,template0,0,0,0,0,0,0,0,0,0,0
1440057733.15106,postgres,0,2875,2,24196,93898,1383468,21005,0,0,0
1440057733.15106,dbt3,18,29781,1,19418975112,28962775730,368980702136,115774482711,2644018909,2155,38246778
1440057793.13367,template1,0,0,0,0,0,0,0,0,0,0
1440057793.13367,template0,0,0,0,0,0,0,0,0,0,0
1440057793.13367,postgres,0,2877,2,24228,93942,1384431,21016,0,0,0
1440057793.13367,dbt3,16,29794,1,19418975302,28962778961,368980707618,115774484102,2644018909,2155,38246778
1440057853.13574,template1,0,0,0,0,0,0,0,0,0,0
1440057853.13574,template0,0,0,0,0,0,0,0,0,0,0
1440057853.13574,postgres,0,2879,2,24260,93986,1385394,21027,0,0,0
1440057853.13574,dbt3,18,29805,1,19418975473,28962781765,368980712894,115774485287,2644018909,2155,38246778
1440057913.13872,template1,0,0,0,0,0,0,0,0,0,0
1440057913.13872,template0,0,0,0,0,0,0,0,0,0,0
1440057913.13872,postgres,0,2881,2,24292,94030,1386357,21038,0,0,0
1440057913.13872,dbt3,18,29847,1,19454756435,28976353433,369835735131,116027601368,2644018929,2161,38246793
1440057973.14057,template1,0,0,0,0,0,0,0,0,0,0
1440057973.14057,template0,0,0,0,0,0,0,0,0,0,0
1440057973.14057,postgres,0,2883,2,24324,94074,1387320,21049,0,0,0
1440057973.14057,dbt3,18,29879,1,19471777354,28982391931,370059642973,116196316200,2644018932,2164,38246793
1440058033.14273,template1,0,0,0,0,0,0,0,0,0,0
1440058033.14273,template0,0,0,0,0,0,0,0,0,0,0
1440058033.14273,postgres,0,2885,2,24356,94118,1388283,21060,0,0,0
1440058033.14273,dbt3,17,29900,1,19491393838,29016360609,370074785446,116209444475,2644018934,2166,38246793
1440058093.16199,template1,0,0,0,0,0,0,0,0,0,0
1440058093.16199,template0,0,0,0,0,0,0,0,0,0,0
1440058093.16199,postgres,0,2887,2,24388,94162,1389246,21071,0,0,0
1440058093.16199,dbt3,15,29920,1,19503732761,29017221469,370120486865,116255079313,2644018950,2168,38246808
1440058153.14865,template1,0,0,0,0,0,0,0,0,0,0
1440058153.14865,template0,0,0,0,0,0,0,0,0,0,0
1440058153.14865,postgres,0,2889,2,24420,94206,1390209,21082,0,0,0
1440058153.14865,dbt3,18,29937,1,19505853206,29017228950,370203694657,116258283299,2644018951,2169,38246808
1440058213.14849,template1,0,0,0,0,0,0,0,0,0,0
1440058213.14849,template0,0,0,0,0,0,0,0,0,0,0
1440058213.14849,postgres,0,2891,2,24452,94250,1391172,21093,0,0,0
1440058213.14849,dbt3,18,29961,1,19518031632,29019312332,370969187122,116261538520,2644018953,2171,38246808
1440058273.15147,template1,0,0,0,0,0,0,0,0,0,0
1440058273.15147,template0,0,0,0,0,0,0,0,0,0,0
1440058273.15147,postgres,0,2893,2,24484,94294,1392135,21104,0,0,0
1440058273.15147,dbt3,18,29979,1,19531813361,29020289094,371596005734,116287292086,2644018954,2172,38246808
1440058333.153,template1,0,0,0,0,0,0,0,0,0,0
1440058333.153,template0,0,0,0,0,0,0,0,0,0,0
1440058333.153,postgres,0,2895,2,24516,94338,1393098,21115,0,0,0
1440058333.153,dbt3,18,30003,1,19540886395,29057734724,371606894694,116298171110,2644769636,2174,38246808
1440058393.15506,template1,0,0,0,0,0,0,0,0,0,0
1440058393.15506,template0,0,0,0,0,0,0,0,0,0,0
1440058393.15506,postgres,0,2897,2,24548,94382,1394061,21126,0,0,0
1440058393.15506,dbt3,18,30033,1,19575861973,29060716333,372421557334,116497582020,2644769654,2178,38246823
1440058453.15672,template1,0,0,0,0,0,0,0,0,0,0
1440058453.15672,template0,0,0,0,0,0,0,0,0,0,0
1440058453.15672,postgres,0,2899,2,24580,94426,1395024,21137,0,0,0
1440058453.15672,dbt3,18,30051,1,19600662188,29064020847,373787481311,117247274797,2644769655,2179,38246823
1440058513.15918,template1,0,0,0,0,0,0,0,0,0,0
1440058513.15918,template0,0,0,0,0,0,0,0,0,0,0
1440058513.15918,postgres,0,2901,2,24612,94470,1395987,21148,0,0,0
1440058513.15918,dbt3,18,30087,1,19623652882,29065823731,374644405206,117353376556,2644769659,2183,38246823
1440058573.16096,template1,0,0,0,0,0,0,0,0,0,0
1440058573.16096,template0,0,0,0,0,0,0,0,0,0,0
1440058573.16096,postgres,0,2903,2,24644,94514,1396950,21159,0,0,0
1440058573.16096,dbt3,18,30111,1,19705975739,29247460940,376651412997,118159574151,2644769661,2185,38246823
1440058633.16303,template1,0,0,0,0,0,0,0,0,0,0
1440058633.16303,template0,0,0,0,0,0,0,0,0,0,0
1440058633.16303,postgres,0,2905,2,24676,94558,1397913,21170,0,0,0
1440058633.16303,dbt3,18,30136,1,19718735441,29248686987,377402658471,118159576380,2644919702,2187,38996984
1440058693.16558,template1,0,0,0,0,0,0,0,0,0,0
1440058693.16558,template0,0,0,0,0,0,0,0,0,0,0
1440058693.16558,postgres,0,2907,2,24708,94602,1398876,21181,0,0,0
1440058693.16558,dbt3,18,30170,1,19744786995,29266303268,377458852075,118214110506,2644919720,2194,38996999
1440058753.16773,template1,0,0,0,0,0,0,0,0,0,0
1440058753.16773,template0,0,0,0,0,0,0,0,0,0,0
1440058753.16773,postgres,0,2909,2,24740,94646,1399839,21192,0,0,0
1440058753.16773,dbt3,18,30212,1,19802216535,29283726325,379256165475,119226056787,2644919740,2200,38997014
1440058813.16895,template1,0,0,0,0,0,0,0,0,0,0
1440058813.16895,template0,0,0,0,0,0,0,0,0,0,0
1440058813.16895,postgres,0,2911,2,24772,94690,1400802,21203,0,0,0
1440058813.16895,dbt3,18,30242,1,19868834433,29366683711,380773653089,119826761816,2644919743,2203,38997014
1440058873.17304,template1,0,0,0,0,0,0,0,0,0,0
1440058873.17304,template0,0,0,0,0,0,0,0,0,0,0
1440058873.17304,postgres,0,2913,2,24804,94734,1401765,21214,0,0,0
1440058873.17304,dbt3,18,30278,1,19912323627,29395590161,382904374739,120590290480,2644919747,2207,38997014
1440058933.17366,template1,0,0,0,0,0,0,0,0,0,0
1440058933.17366,template0,0,0,0,0,0,0,0,0,0,0
1440058933.17366,postgres,0,2915,2,24836,94778,1402728,21225,0,0,0
1440058933.17366,dbt3,18,30326,1,19935160230,29411959716,383655055422,120627066555,2645670495,2213,38997014
1440058993.17667,template1,0,0,0,0,0,0,0,0,0,0
1440058993.17667,template0,0,0,0,0,0,0,0,0,0,0
1440058993.17667,postgres,0,2917,2,24868,94822,1403691,21236,0,0,0
1440058993.17667,dbt3,18,30356,1,19969902102,29415887874,384137595020,121093809797,2645670498,2216,38997014
1440059053.17842,template1,0,0,0,0,0,0,0,0,0,0
1440059053.17842,template0,0,0,0,0,0,0,0,0,0,0
1440059053.17842,postgres,0,2919,2,24900,94866,1404654,21247,0,0,0
1440059053.17842,dbt3,18,30374,1,19977071762,29419029074,384228886183,121184834719,2645670499,2217,38997014
1440059113.17936,template1,0,0,0,0,0,0,0,0,0,0
1440059113.17936,template0,0,0,0,0,0,0,0,0,0,0
1440059113.17936,postgres,0,2921,2,24932,94910,1405617,21258,0,0,0
1440059113.17936,dbt3,18,30410,1,20015181962,29454206490,384296206797,121249448898,2645670518,2222,38997029
1440059173.18819,template1,0,0,0,0,0,0,0,0,0,0
1440059173.18819,template0,0,0,0,0,0,0,0,0,0,0
1440059173.18819,postgres,0,2923,2,24964,94954,1406580,21269,0,0,0
1440059173.18819,dbt3,18,30424,1,20015182209,29454214680,384296215624,121249453140,2645670520,2252,38997029
1440059233.18509,template1,0,0,0,0,0,0,0,0,0,0
1440059233.18509,template0,0,0,0,0,0,0,0,0,0,0
1440059233.18509,postgres,0,2925,2,24996,94998,1407543,21280,0,0,0
1440059233.18509,dbt3,18,30449,1,20027698508,29455696888,385047461807,121249455390,2645820559,2254,39746713
1440059293.19143,template1,0,0,0,0,0,0,0,0,0,0
1440059293.19143,template0,0,0,0,0,0,0,0,0,0,0
1440059293.19143,postgres,0,2927,2,25028,95042,1408506,21291,0,0,0
1440059293.19143,dbt3,18,30469,1,20040694007,29456969646,385269819902,121471587208,2645820562,2285,39746713
1440059353.1898,template1,0,0,0,0,0,0,0,0,0,0
1440059353.1898,template0,0,0,0,0,0,0,0,0,0,0
1440059353.1898,postgres,0,2929,2,25060,95086,1409469,21302,0,0,0
1440059353.1898,dbt3,18,30491,1,20054000008,29457736364,385618824307,121654069894,2645820563,2289,39746713
1440059413.19168,template1,0,0,0,0,0,0,0,0,0,0
1440059413.19168,template0,0,0,0,0,0,0,0,0,0,0
1440059413.19168,postgres,0,2931,2,25092,95130,1410432,21313,0,0,0
1440059413.19168,dbt3,18,30509,1,20055828094,29472218562,385618830151,121654071521,2646571481,2290,39746713
1440059473.19403,template1,0,0,0,0,0,0,0,0,0,0
1440059473.19403,template0,0,0,0,0,0,0,0,0,0,0
1440059473.19403,postgres,0,2933,2,25124,95174,1411395,21324,0,0,0
1440059473.19403,dbt3,18,30545,1,20210798354,29512450483,385866439708,121900322736,2646571485,2294,39746713
1440059533.19489,template1,0,0,0,0,0,0,0,0,0,0
1440059533.19489,template0,0,0,0,0,0,0,0,0,0,0
1440059533.19489,postgres,0,2935,2,25156,95218,1412358,21335,0,0,0
1440059533.19489,dbt3,18,30575,1,20238013493,29516203984,387326252778,122651272747,2646571488,2297,39746713
1440059593.19661,template1,0,0,0,0,0,0,0,0,0,0
1440059593.19661,template0,0,0,0,0,0,0,0,0,0,0
1440059593.19661,postgres,0,2937,2,25188,95262,1413321,21346,0,0,0
1440059593.19661,dbt3,18,30599,1,20270048980,29542965711,388703985716,123411971404,2646571490,2299,39746713
1440059653.20006,template1,0,0,0,0,0,0,0,0,0,0
1440059653.20006,template0,0,0,0,0,0,0,0,0,0,0
1440059653.20006,postgres,0,2939,2,25220,95306,1414284,21357,0,0,0
1440059653.20006,dbt3,18,30617,1,20279948708,29543754892,389304030704,123411973307,2646571491,2300,39746713
1440059713.20045,template1,0,0,0,0,0,0,0,0,0,0
1440059713.20045,template0,0,0,0,0,0,0,0,0,0,0
1440059713.20045,postgres,0,2939,2,25220,95306,1414284,21357,0,0,0
1440059713.20045,dbt3,18,30656,1,20369109087,29563911135,390288968178,123495352110,2646721532,2304,40496681
1440059773.27305,template1,0,0,0,0,0,0,0,0,0,0
1440059773.27305,template0,0,0,0,0,0,0,0,0,0,0
1440059773.27305,postgres,1,2941,2,25252,95350,1415247,21368,0,0,0
1440059773.27305,dbt3,18,30684,1,20405966448,29566143852,392270885415,123524126132,2646721535,2307,40496681
1440059833.27429,template1,0,0,0,0,0,0,0,0,0,0
1440059833.27429,template0,0,0,0,0,0,0,0,0,0,0
1440059833.27429,postgres,1,2943,2,25284,95394,1416210,21379,0,0,0
1440059833.27429,dbt3,18,30708,1,20413326012,29567669450,392360552714,123533789004,2646721537,2309,40496681
1440059893.27693,template1,0,0,0,0,0,0,0,0,0,0
1440059893.27693,template0,0,0,0,0,0,0,0,0,0,0
1440059893.27693,postgres,0,2945,2,25316,95438,1417173,21390,0,0,0
1440059893.27693,dbt3,18,30738,1,20433327762,29585109416,392589641725,123762206175,2647471973,2312,40496681
1440059953.28199,template1,0,0,0,0,0,0,0,0,0,0
1440059953.28199,template0,0,0,0,0,0,0,0,0,0,0
1440059953.28199,postgres,0,2947,2,25348,95482,1418136,21401,0,0,0
1440059953.28199,dbt3,15,30753,1,20443215812,29585547919,392681082196,123853239032,2647471974,2313,40496681
1440060013.29702,template1,0,0,0,0,0,0,0,0,0,0
1440060013.29702,template0,0,0,0,0,0,0,0,0,0,0
1440060013.29702,postgres,0,2949,2,25380,95526,1419099,21412,0,0,0
1440060013.29702,dbt3,16,30764,1,20443216004,29585550978,392681087609,123853240356,2647471974,2313,40496681
1440060073.28503,template1,0,0,0,0,0,0,0,0,0,0
1440060073.28503,template0,0,0,0,0,0,0,0,0,0,0
1440060073.28503,postgres,0,2951,2,25412,95570,1420062,21423,0,0,0
1440060073.28503,dbt3,18,30792,1,20544395163,29939485075,393068487179,124139977504,2647471976,2315,40496681
1440060133.28566,template1,0,0,0,0,0,0,0,0,0,0
1440060133.28566,template0,0,0,0,0,0,0,0,0,0,0
1440060133.28566,postgres,0,2953,2,25444,95614,1421025,21434,0,0,0
1440060133.28566,dbt3,18,30804,1,20544395351,29939488164,393068492604,124139978839,2647471976,2315,40496681
1440060193.28699,template1,0,0,0,0,0,0,0,0,0,0
1440060193.28699,template0,0,0,0,0,0,0,0,0,0,0
1440060193.28699,postgres,0,2955,2,25476,95658,1421988,21445,0,0,0
1440060193.28699,dbt3,18,30841,1,20584028793,29942053742,394518092729,124504578084,2647622017,2319,41248083
1440060253.29562,template1,0,0,0,0,0,0,0,0,0,0
1440060253.29562,template0,0,0,0,0,0,0,0,0,0,0
1440060253.29562,postgres,0,2957,2,25508,95702,1422951,21456,0,0,0
