ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1440057673.11167,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440057673.11167,pg_catalog,pg_db_role_setting,0,0,61208,0,0,0,0,0,0,0,0,0,1828,59380,0,0,0,0
1440057673.11167,pg_catalog,pg_description,0,0,742,0,0,0,0,0,0,0,0,0,269,1388,0,0,0,0
1440057673.11167,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_class,15067,4424729,614718,667280,317,102,280,99,349,102,24825,771679,13494,1078172,,,,
1440057673.11167,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,public,lineitem,21,9004167360,19807522,2168162622,600637707,0,599397,0,600038232,599397,367728197,152041224,27712486,83100096,,,,
1440057673.11167,pg_catalog,pg_operator,0,0,67653,263751,0,0,0,0,0,0,14911,177145,10716,143868,,,,
1440057673.11167,pg_catalog,pg_attribute,957,6525,387736,709568,1145,30,968,16,2540,512,21485,406266,12161,783966,,,,
1440057673.11167,public,region,9,30,14,14,5,0,0,0,5,0,9,21,9,12,,,,
1440057673.11167,pg_catalog,pg_tablespace,2,4,10776,10776,0,0,0,0,0,0,1506,9272,3022,18546,,,,
1440057673.11167,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_statistic,0,0,66023,56947,230,663,183,307,448,91,10878,48784,5317,138769,7944,12558,2440,6806
1440057673.11167,pg_catalog,pg_aggregate,0,0,4481,4481,0,0,0,0,0,0,1557,2924,3133,5016,,,,
1440057673.11167,pg_catalog,pg_inherits,0,0,173,0,0,0,0,0,0,0,0,0,103,70,,,,
1440057673.11167,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_2618,0,0,7179,22968,0,0,0,0,0,0,4535,6941,1452,10042,,,,
1440057673.11167,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_13156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440057673.11167,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_13126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_database,4335,17280,72016,72014,1,0,0,0,1,0,1084,75266,7799,94813,,,,
1440057673.11167,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_depend,0,0,7364,7883,1390,0,1302,0,7362,1303,1189,8656,2300,18815,,,,
1440057673.11167,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440057673.11167,public,orders,10,1350750000,51201774,382772941,150150000,0,150000,0,150000001,150000,78812837,50020395,26528937,182510832,,,,
1440057673.11167,public,partsupp,5,400000000,385398,25158756,80000000,0,0,0,79999879,0,23250869,19836505,773364,1277848,,,,
1440057673.11167,pg_catalog,pg_amproc,174,348,48860,76325,0,0,0,0,0,0,2054,46916,5926,105688,,,,
1440057673.11167,information_schema,sql_sizing_profiles,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440057673.11167,public,part,9,160000000,1651184,25053921,20000000,0,0,0,19999836,0,5578601,2382473,783758,4759506,,,,
1440057673.11167,pg_catalog,pg_collation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_range,0,0,1429,0,0,0,0,0,0,0,0,0,1984,874,,,,
1440057673.11167,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_13146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_opclass,174,174,59053,643351,0,0,0,0,0,0,4639,246615,6772,72627,,,,
1440057673.11167,information_schema,sql_languages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440057673.11167,pg_catalog,pg_rewrite,0,0,10665,10377,102,0,102,0,114,34,4156,6934,1709,16557,4535,6941,2904,20084
1440057673.11167,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_seclabel,0,0,742,0,0,0,0,0,0,0,0,0,83,659,0,0,0,0
1440057673.11167,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440057673.11167,public,supplier,12,8000000,32882685,34098320,1000000,0,0,0,1000000,0,350781,32925140,11613,98825541,,,,
1440057673.11167,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440057673.11167,pg_catalog,pg_event_trigger,0,0,296,0,0,0,0,0,0,0,0,0,105,191,,,,
1440057673.11167,public,customer,11,135000000,1220059,27947674,15000000,0,0,0,15000028,0,5408945,3805508,341317,3620514,,,,
1440057673.11167,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440057673.11167,pg_catalog,pg_extension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_ts_config,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440057673.11167,pg_catalog,pg_cast,0,0,290524,83918,0,0,0,0,0,0,2372,81546,2924,299882,,,,
1440057673.11167,pg_catalog,pg_amop,0,0,96354,162411,0,0,0,0,0,0,6830,155581,9646,200601,,,,
1440057673.11167,pg_toast,pg_toast_13141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440057673.11167,pg_catalog,pg_type,0,0,262352,260990,363,0,344,0,373,121,6390,255956,6818,495471,,,,
1440057673.11167,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,information_schema,sql_sizing,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440057673.11167,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_am,14038,14038,0,0,0,0,0,0,0,0,1990,12048,0,0,,,,
1440057673.11167,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_13131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_namespace,3359,40910,176630,164158,14,0,0,0,14,0,1680,165873,4808,187900,,,,
1440057673.11167,pg_toast,pg_toast_2619,0,0,4480,10566,1164,0,1138,0,32,40,7944,12558,2440,6806,,,,
1440057673.11167,pg_catalog,pg_authid,1452,1452,25172,25172,0,0,0,0,0,0,1655,24969,6448,43896,,,,
1440057673.11167,pg_catalog,pg_default_acl,0,0,732,0,0,0,0,0,0,0,0,0,87,645,,,,
1440057673.11167,public,nation,64323,1607875,69,93,25,0,0,0,25,0,15,64379,21,64,,,,
1440057673.11167,pg_toast,pg_toast_13151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_13136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_shdepend,0,0,936,197,0,0,0,0,0,0,104,93,392,900,,,,
1440057673.11167,pg_catalog,pg_constraint,0,0,40,16,24,0,16,0,8,16,13,116,24,224,0,0,0,0
1440057673.11167,public,time_statistics,26,375,,,29,26,0,26,29,26,18,63,,,,,,
1440057673.11167,pg_catalog,pg_index,7770,1049176,118533,163375,134,0,107,0,148,3,8248,153194,7448,135967,,,,
1440057673.11167,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440057673.11167,pg_catalog,pg_proc,0,0,154773,225988,0,0,0,0,0,0,20590,157429,18414,315950,0,0,0,0
1440057733.15016,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
