# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
ip-10-145-11-135.us-west-1.compute.internal;60;1440057733;37627.53;163268.90;462242.87;0.13;71449.00;28436.97;2785.37;30379.12;97.30
ip-10-145-11-135.us-west-1.compute.internal;60;1440057793;19122.80;215202.37;205834.52;0.05;70166.10;57881.57;844.80;58726.27;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440057853;25765.13;185061.28;163578.90;0.00;69674.65;59457.42;489.07;59941.97;99.99
ip-10-145-11-135.us-west-1.compute.internal;60;1440057913;64960.27;142993.90;331477.93;0.00;89146.35;42187.23;1240.53;43427.67;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440057973;39291.47;111272.83;302739.87;0.25;70268.50;22977.75;421.33;23399.05;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058033;60095.47;109295.00;256516.03;0.15;85360.22;67712.33;1441.60;69153.93;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058093;45069.60;142908.12;257932.57;0.02;81143.35;59604.30;933.87;60538.10;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058153;89778.13;87811.40;285044.37;0.35;83042.88;25939.85;3097.60;29037.27;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058213;132643.47;73395.65;241054.02;0.33;99643.58;43383.50;1660.78;45044.22;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058273;152547.60;39976.43;317004.40;0.00;93441.28;39644.02;1180.80;40824.70;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058333;159492.67;46033.10;346334.63;0.33;103308.00;40616.17;913.07;41528.50;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058393;176567.47;24973.25;677495.72;0.00;132754.17;21255.60;642.67;21892.83;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440058453;180816.20;9979.78;668697.15;0.00;141152.38;13858.65;435.73;14294.02;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058513;164194.73;8412.12;649511.77;0.12;76139.13;0.00;1950.40;1950.32;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058573;117243.53;22239.58;366043.20;0.00;54419.80;0.00;1368.53;1368.37;99.99
ip-10-145-11-135.us-west-1.compute.internal;60;1440058633;49221.00;34092.47;279685.78;0.07;21321.25;0.00;700.27;700.08;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440058693;99661.80;71602.83;331527.20;0.03;39453.65;6389.30;589.33;6975.68;99.96
ip-10-145-11-135.us-west-1.compute.internal;60;1440058753;84769.93;88619.57;319183.42;0.00;114408.80;375.85;0.00;375.85;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058813;69793.47;79422.48;222860.23;0.02;49739.43;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058873;44927.47;124158.92;232168.62;0.00;85979.25;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058933;28964.07;59471.82;230522.75;0.00;44721.30;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440058993;12746.20;8646.43;147887.78;0.00;30239.35;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059053;4657.00;4694.35;92765.38;0.00;20358.83;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059113;2472.80;4863.53;154519.05;0.00;27947.80;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059173;1318.67;4170.32;144015.58;0.05;19780.17;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059233;3573.40;41942.37;119943.68;0.07;13474.47;0.00;1477.33;1477.17;99.99
ip-10-145-11-135.us-west-1.compute.internal;60;1440059293;13744.27;141036.62;140834.82;0.10;29550.95;9720.42;280.92;10001.20;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059353;20459.53;132068.42;149330.78;0.17;34897.38;6741.25;269.33;7010.50;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059413;9527.73;33563.73;98305.78;0.47;7773.08;4124.27;53.33;4174.73;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1440059473;10820.33;17420.60;190301.60;0.35;20402.32;13326.75;250.32;13576.88;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059533;16334.20;83098.53;187546.38;0.00;90239.65;14521.68;193.63;14713.47;99.99
ip-10-145-11-135.us-west-1.compute.internal;60;1440059593;15118.80;74758.22;262099.33;0.00;78304.58;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059653;5109.80;113946.88;210119.90;0.03;13490.07;0.00;0.00;0.00;0.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440059713;13981.73;111000.75;281822.22;0.03;41625.80;1839.58;148.27;1987.82;100.00
